well;ID;sample;dominant_family;percentage;reads_spikein;reads
I23-1331-I04_S2006_R1_001;I23-1331-I04;sample;Paenibacillaceae;3,93;10192;150453
I23-1331-I05_S2022_R1_001;I23-1331-I05;sample;0;0;1;241
I23-1331-I06_S2038_R1_001;I23-1331-I06;sample;Microbacteriaceae;27,91;4518;57156
I23-1331-I07_S2054_R1_001;I23-1331-I07;sample;Microbacteriaceae;68,31;6081;77932
I23-1331-I08_S2070_R1_001;I23-1331-I08;sample;Boseaceae;19,82;5677;84431
I23-1331-I09_S2086_R1_001;I23-1331-I09;sample;Paenibacillaceae;87,65;10691;162821
I23-1331-I10_S2102_R1_001;I23-1331-I10;sample;Rhodanobacteraceae;7,69;26;460
I23-1331-I11_S2118_R1_001;I23-1331-I11;sample;0;0;6;426
I23-1331-I12_S2134_R1_001;I23-1331-I12;sample;Microbacteriaceae;33,97;11281;165393
I23-1331-I13_S2150_R1_001;I23-1331-I13;sample;Pseudomonadaceae;2,47;324;3261
I23-1331-I14_S2166_R1_001;I23-1331-I14;sample;Microbacteriaceae;15,5;8823;135089
I23-1331-I15_S2182_R1_001;I23-1331-I15;sample;Flavobacteriaceae;19,94;5907;108999
I23-1331-I16_S2198_R1_001;I23-1331-I16;sample;Microbacteriaceae;84,77;9430;138300
I23-1331-I17_S2214_R1_001;I23-1331-I17;sample;Pseudomonadaceae;83,6;6133;71161
I23-1331-I18_S2230_R1_001;I23-1331-I18;sample;Micrococcaceae;12,34;2155;24651
I23-1331-I19_S2246_R1_001;I23-1331-I19;sample;Streptomycetaceae;85,31;2138;22547
I23-1331-I20_S2262_R1_001;I23-1331-I20;sample;Pseudomonadaceae;93,92;5950;100151
I23-1331-I21_S2278_R1_001;I23-1331-I21;sample;Burkholderiaceae;30,48;292;3291
I23-1331-I22_S2294_R1_001;I23-1331-I22;sample;Pseudomonadaceae;71,36;4424;73050
I23-1331-I23_S2310_R1_001;I23-1331-I23;sample;Microbacteriaceae;50,12;2859;50297
I23-1331-I24_S2326_R1_001;I23-1331-I24;sample;Pseudomonadaceae;87,67;3795;60367
I23-1331-J01_S1959_R1_001;I23-1331-J01;sample;Alcaligenaceae;28,35;2931;29328
I23-1331-J02_S1975_R1_001;I23-1331-J02;sample;Nocardiaceae;84,75;8704;119765
I23-1331-J03_S1991_R1_001;I23-1331-J03;sample;Alcaligenaceae;26,8;735;9485
I23-1331-J04_S2007_R1_001;I23-1331-J04;sample;Devosiaceae;3,88;1495;14788
I23-1331-J05_S2023_R1_001;I23-1331-J05;sample;Bacillaceae;81,11;7535;84001
I23-1331-J06_S2039_R1_001;I23-1331-J06;sample;Streptomycetaceae;47,2;1409;19203
I23-1331-J07_S2055_R1_001;I23-1331-J07;sample;Moraxellaceae;26,3;8526;102010
I23-1331-J08_S2071_R1_001;I23-1331-J08;sample;Streptomycetaceae;44,06;2594;27310
